construct,filename,split,n_instances,n_voxels,shape,img_path,mask_path,vpi
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4.tif,val,180,8234,41x234x226,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4_masks.tif,45.74444444444445
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5.tif,train,116,5837,41x261x213,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5_masks.tif,50.31896551724138
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1.tif,train,76,4141,49x180x136,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1_masks.tif,54.48684210526316
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2.tif,train,135,8349,49x186x229,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2_masks.tif,61.84444444444444
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3.tif,val,842,27988,49x345x260,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3_masks.tif,33.23990498812351
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4.tif,val,143,8758,49x152x150,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4_masks.tif,61.24475524475525
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5.tif,train,165,3760,49x187x163,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5_masks.tif,22.78787878787879
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1.tif,train,109,1756,54x202x134,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1_masks.tif,16.110091743119266
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2.tif,train,563,9392,54x198x204,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2_masks.tif,16.682060390763766
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3.tif,train,81,3184,54x220x133,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3_masks.tif,39.30864197530864
10ntABr_4arm,20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2.tif,train,1161,49700,112x253x204,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2_img.tif,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2_masks.tif,42.80792420327304
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1.tif,train,126,9762,116x172x301,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1_masks.tif,77.47619047619048
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells.tif,train,267,53954,116x235x197,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells_masks.tif,202.0749063670412
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell.tif,val,254,27713,130x326x242,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell_masks.tif,109.10629921259843
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2.tif,val,32,6480,130x130x126,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2_masks.tif,202.5
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3.tif,val,379,47311,130x218x178,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3_masks.tif,124.8311345646438
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4.tif,val,321,47661,130x182x161,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4_masks.tif,148.47663551401868
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5.tif,train,63,6203,130x153x119,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5_masks.tif,98.46031746031746
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1.tif,train,449,36028,93x200x197,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1_masks.tif,80.24053452115812
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells.tif,train,1266,60815,93x401x271,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells_masks.tif,48.03712480252764
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3.tif,train,239,29206,93x230x181,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3_masks.tif,122.20083682008368
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4.tif,train,355,34485,93x202x188,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4_masks.tif,97.14084507042253
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1.tif,train,396,14288,122x176x210,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1_masks.tif,36.08080808080808
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3.tif,train,1007,55060,122x189x223,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3_masks.tif,54.6772591857001
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1.tif,val,983,49709,90x235x170,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1_masks.tif,50.56866734486267
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2.tif,train,469,59541,90x194x227,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2_masks.tif,126.95309168443497
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells.tif,train,1028,68023,90x295x325,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells_masks.tif,66.17023346303502
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis.tif,train,583,64582,90x312x222,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis_masks.tif,110.77530017152658
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells.tif,train,189,19755,90x230x149,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells_masks.tif,104.52380952380952
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1.tif,val,133,15130,139x227x154,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1_masks.tif,113.7593984962406
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells.tif,train,192,10872,139x150x237,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells_masks.tif,56.625
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells.tif,train,775,51864,116x319x336,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells_masks.tif,66.92129032258065
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells.tif,val,148,20219,116x193x313,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells_masks.tif,136.61486486486487
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells.tif,train,54,8216,116x223x172,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells_masks.tif,152.14814814814815
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1.tif,train,492,19400,117x153x142,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1_masks.tif,39.43089430894309
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2.tif,train,93,20297,117x128x119,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2_masks.tif,218.247311827957
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3.tif,train,119,17380,117x176x141,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3_masks.tif,146.05042016806723
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4.tif,train,386,29076,117x182x192,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4_masks.tif,75.32642487046633
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1.tif,train,883,92061,109x298x280,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1_masks.tif,104.25934314835787
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells.tif,train,1246,92322,109x608x613,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells_masks.tif,74.09470304975923
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells.tif,val,2473,276072,109x470x766,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells_masks.tif,111.6344520824909
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1.tif,train,2175,106265,83x291x296,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1_masks.tif,48.85747126436782
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2.tif,val,1213,58531,83x252x264,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2_masks.tif,48.253091508656226
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3.tif,train,1375,71202,83x252x288,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3_masks.tif,51.783272727272724
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4.tif,val,220,7293,83x202x224,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4_masks.tif,33.15
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells.tif,train,316,39210,122x474x423,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells_masks.tif,124.08227848101266
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells.tif,val,1208,180268,122x598x530,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells_masks.tif,149.22847682119206
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1.tif,train,2064,110818,89x456x313,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1_masks.tif,53.690891472868216
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells.tif,train,2155,170988,89x446x341,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells_masks.tif,79.34477958236658
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells.tif,train,145,27615,89x226x240,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells_masks.tif,190.44827586206895
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells.tif,train,1763,127839,87x488x384,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells_masks.tif,72.51219512195122
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1.tif,val,1254,36012,94x247x241,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1_masks.tif,28.717703349282296
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells.tif,train,861,106618,94x244x418,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells_masks.tif,123.83042973286875
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3.tif,train,1019,51602,94x237x222,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3_masks.tif,50.639842983316974
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells.tif,train,1628,213038,86x681x455,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells_masks.tif,130.85872235872236
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells.tif,train,998,111628,86x315x424,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells_masks.tif,111.85170340681363
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3.tif,train,777,58047,86x267x206,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3_masks.tif,74.70656370656371
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells.tif,train,841,165646,86x472x528,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells_masks.tif,196.96313912009512
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1.tif,train,794,40295,102x239x254,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1_masks.tif,50.749370277078086
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells.tif,train,963,99442,102x519x468,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells_masks.tif,103.26272066458982
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells.tif,train,464,70444,102x417x321,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells_masks.tif,151.81896551724137
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_4.tif,val,1208,38704,102x294x285,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_4_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_4_masks.tif,32.03973509933775
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_5.tif,train,1305,55560,102x327x300,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_5_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_5_masks.tif,42.57471264367816
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_1_2 cells.tif,train,1617,103061,111x360x330,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_1_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_3_1_2 cells_masks.tif,63.73593073593074
