construct,filename,split,n_instances,n_voxels,shape,img_path,mask_path
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4.tif,val,180,8234,41x234x226,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_4_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5.tif,train,116,5837,41x261x213,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_5_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_6.tif,train,108,23173,26x279x197,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_6_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample2_2_6_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1.tif,train,76,4141,49x180x136,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_1_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2.tif,train,135,8349,49x186x229,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_2_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3.tif,val,842,27988,49x345x260,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_3_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4.tif,val,143,8758,49x152x150,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4_img.tif,val/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_4_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5.tif,train,165,3760,49x187x163,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_1_5_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1.tif,train,109,1756,54x202x134,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_1_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2.tif,train,563,9392,54x198x204,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_2_masks.tif
10ntABr,20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3.tif,train,81,3184,54x220x133,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3_img.tif,train/10ntABr__20240516_10ntAABr_10uMDFHBI_20-40_Sample3_3_3_masks.tif
10ntABr_4arm,20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_1.tif,train,537,15811,112x137x188,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_1_img.tif,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_1_masks.tif
10ntABr_4arm,20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2.tif,train,1161,49700,112x253x204,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2_img.tif,train/10ntABr_4arm__20250424_10ntABr 4arm_NucDFHBI40uM_20-40_2_2_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1.tif,train,126,9762,116x172x301,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells.tif,train,267,53954,116x235x197,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_2_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_3.tif,train,729,17204,116x255x219,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_2_3_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell.tif,val,254,27713,130x326x242,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_1_2 cells discard dead cell_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2.tif,val,32,6480,130x130x126,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_2_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3.tif,val,379,47311,130x218x178,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_3_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4.tif,val,321,47661,130x182x161,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_4_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5.tif,train,63,6203,130x153x119,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample1_3_5_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1.tif,train,449,36028,93x200x197,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells.tif,train,1266,60815,93x401x271,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_2_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3.tif,train,239,29206,93x230x181,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_3_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4.tif,train,355,34485,93x202x188,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_1_4_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1.tif,train,396,14288,122x176x210,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_2.tif,train,717,16855,122x188x150,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_2_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_2_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3.tif,train,1007,55060,122x189x223,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_2_3_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1.tif,val,983,49709,90x235x170,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2.tif,train,469,59541,90x194x227,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_2_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells.tif,train,1028,68023,90x295x325,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_3_4 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis.tif,train,583,64582,90x312x222,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_4_4 cellls_one mitosis_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells.tif,train,189,19755,90x230x149,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample2_3_5_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1.tif,val,133,15130,139x227x154,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells.tif,train,192,10872,139x150x237,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_2_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_3_2 cells.tif,train,96,37303,139x276x206,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_3_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_3_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_4.tif,train,20,8351,139x136x100,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_4_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_1_4_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells.tif,train,775,51864,116x319x336,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_1_4 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells.tif,val,148,20219,116x193x313,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells_img.tif,val/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_2_3 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells.tif,train,54,8216,116x223x172,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_2_3_2 cells_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1.tif,train,492,19400,117x153x142,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_1_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2.tif,train,93,20297,117x128x119,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_2_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3.tif,train,119,17380,117x176x141,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_3_masks.tif
10ntABr_4arm,20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4.tif,train,386,29076,117x182x192,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4_img.tif,train/10ntABr_4arm__20250424_10ntABr_4arm_NucDFHBI40uM_20-40_sample3_3_4_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1.tif,train,883,92061,109x298x280,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_1_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells.tif,train,1246,92322,109x608x613,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_2_4 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells.tif,val,2473,276072,109x470x766,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_1_3_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1.tif,train,2175,106265,83x291x296,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_1_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2.tif,val,1213,58531,83x252x264,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_2_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3.tif,train,1375,71202,83x252x288,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_3_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4.tif,val,220,7293,83x202x224,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_2_4_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells.tif,train,316,39210,122x474x423,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_1_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells.tif,val,1208,180268,122x598x530,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample1_3_2_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1.tif,train,2064,110818,89x456x313,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_1_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells.tif,train,2155,170988,89x446x341,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_2_2 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells.tif,train,145,27615,89x226x240,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_1_3_2 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells.tif,train,1763,127839,87x488x384,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_2_1_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1.tif,val,1254,36012,94x247x241,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1_img.tif,val/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_1_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells.tif,train,861,106618,94x244x418,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_2_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3.tif,train,1019,51602,94x237x222,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample2_3_3_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells.tif,train,1628,213038,86x681x455,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_1_3 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells.tif,train,998,111628,86x315x424,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_2_2 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3.tif,train,777,58047,86x267x206,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_3_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells.tif,train,841,165646,86x472x528,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_1_4_2 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1.tif,train,794,40295,102x239x254,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_1_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells.tif,train,963,99442,102x519x468,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_2_2 cells_masks.tif
10ntABr_5arm,20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells.tif,train,464,70444,102x417x321,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells_img.tif,train/10ntABr_5arm__20250502_10ntABr_NucDFHBI40uM_20-40_sample3_2_3_2 cells_masks.tif
